season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
2013-2014,201422,05/31/2014,California,454,23360,1.94,85
2013-2014,201422,05/31/2014,Central,3,420,0.71,8
2013-2014,201422,05/31/2014,Lower Southern,171,8525,2.01,34
2013-2014,201422,05/31/2014,Northern,17,4639,0.37,10
2013-2014,201422,05/31/2014,Upper Southern,10,2413,0.41,21
2013-2014,201423,06/07/2014,Bay Area,270,8639,3.13,12
2013-2014,201423,06/07/2014,California,531,26867,1.98,87
2013-2014,201423,06/07/2014,Central,7,452,1.55,8
2013-2014,201423,06/07/2014,Lower Southern,202,10324,1.96,35
2013-2014,201423,06/07/2014,Northern,25,4984,0.50,11
2013-2014,201423,06/07/2014,Upper Southern,27,2468,1.09,21
2013-2014,201424,06/14/2014,Bay Area,280,7949,3.52,12
2013-2014,201424,06/14/2014,California,507,27085,1.87,86
2013-2014,201424,06/14/2014,Central,7,528,1.33,8
2013-2014,201424,06/14/2014,Lower Southern,179,9837,1.82,33
2013-2014,201424,06/14/2014,Northern,26,6209,0.42,13
2013-2014,201424,06/14/2014,Upper Southern,15,2562,0.59,20
2013-2014,201425,06/21/2014,Bay Area,237,7227,3.28,11
2013-2014,201425,06/21/2014,California,458,24832,1.84,83
2013-2014,201425,06/21/2014,Central,3,435,0.69,8
2013-2014,201425,06/21/2014,Lower Southern,186,9346,1.99,32
2013-2014,201425,06/21/2014,Northern,17,5658,0.30,13
2013-2014,201425,06/21/2014,Upper Southern,15,2166,0.69,19
2013-2014,201426,06/28/2014,Bay Area,207,7005,2.96,10
2013-2014,201426,06/28/2014,California,473,26892,1.76,83
2013-2014,201426,06/28/2014,Central,2,881,0.23,9
2013-2014,201426,06/28/2014,Lower Southern,216,10611,2.04,32
2013-2014,201426,06/28/2014,Northern,37,6118,0.60,13
2013-2014,201426,06/28/2014,Upper Southern,11,2277,0.48,19
2013-2014,201427,07/05/2014,Bay Area,185,6502,2.85,13
2013-2014,201427,07/05/2014,California,402,21779,1.85,85
2013-2014,201427,07/05/2014,Central,5,420,1.19,8
2013-2014,201427,07/05/2014,Lower Southern,183,8875,2.06,33
2013-2014,201427,07/05/2014,Northern,20,4306,0.46,12
2013-2014,201427,07/05/2014,Upper Southern,9,1676,0.54,19
2013-2014,201428,07/12/2014,Bay Area,204,7595,2.69,13
2013-2014,201428,07/12/2014,California,400,26070,1.53,87
2013-2014,201428,07/12/2014,Central,0,1286,0.00,9
2013-2014,201428,07/12/2014,Lower Southern,163,9674,1.68,33
2013-2014,201428,07/12/2014,Northern,27,5127,0.53,12
2013-2014,201428,07/12/2014,Upper Southern,6,2388,0.25,20
2013-2014,201429,07/19/2014,Bay Area,171,7351,2.33,10
2013-2014,201429,07/19/2014,California,381,24690,1.54,80
2013-2014,201429,07/19/2014,Central,5,904,0.55,8
2013-2014,201429,07/19/2014,Lower Southern,185,9421,1.96,32
2013-2014,201429,07/19/2014,Northern,12,4861,0.25,12
2013-2014,201429,07/19/2014,Upper Southern,8,2153,0.37,18
2013-2014,201430,07/26/2014,Bay Area,156,7420,2.10,11
2013-2014,201430,07/26/2014,California,323,24697,1.31,82
2013-2014,201430,07/26/2014,Central,8,981,0.82,9
2013-2014,201430,07/26/2014,Lower Southern,145,9126,1.59,31
2013-2014,201430,07/26/2014,Northern,10,5176,0.19,12
2013-2014,201430,07/26/2014,Upper Southern,4,1994,0.20,19
2013-2014,201431,08/02/2014,Bay Area,172,7534,2.28,12
2013-2014,201431,08/02/2014,California,337,25467,1.32,84
2013-2014,201431,08/02/2014,Central,5,981,0.51,9
2013-2014,201431,08/02/2014,Lower Southern,118,9271,1.27,31
2013-2014,201431,08/02/2014,Northern,25,5354,0.47,12
2013-2014,201431,08/02/2014,Upper Southern,17,2327,0.73,20
2013-2014,201432,08/09/2014,Bay Area,167,7635,2.19,12
2013-2014,201432,08/09/2014,California,265,24337,1.09,82
2013-2014,201432,08/09/2014,Central,2,1048,0.19,8
2013-2014,201432,08/09/2014,Lower Southern,80,8309,0.96,30
2013-2014,201432,08/09/2014,Northern,13,5067,0.26,12
2013-2014,201432,08/09/2014,Upper Southern,3,2278,0.13,20
2013-2014,201433,08/16/2014,Bay Area,105,6606,1.59,10
2013-2014,201433,08/16/2014,California,240,21970,1.09,70
2013-2014,201433,08/16/2014,Central,0,776,0.00,6
2013-2014,201433,08/16/2014,Lower Southern,113,7390,1.53,24
2013-2014,201433,08/16/2014,Northern,13,5046,0.26,11
2013-2014,201433,08/16/2014,Upper Southern,9,2152,0.42,19
2013-2014,201434,08/23/2014,Bay Area,174,7328,2.37,10
2013-2014,201434,08/23/2014,California,289,23291,1.24,69
2013-2014,201434,08/23/2014,Central,17,1205,1.41,7
2013-2014,201434,08/23/2014,Lower Southern,77,7303,1.05,24
2013-2014,201434,08/23/2014,Northern,13,5642,0.23,11
2013-2014,201434,08/23/2014,Upper Southern,8,1813,0.44,17
2013-2014,201435,08/30/2014,Bay Area,200,8265,2.42,12
2013-2014,201435,08/30/2014,California,354,25913,1.37,72
2013-2014,201435,08/30/2014,Central,21,1371,1.53,7
2013-2014,201435,08/30/2014,Lower Southern,98,8176,1.20,25
2013-2014,201435,08/30/2014,Northern,20,5227,0.38,10
2013-2014,201435,08/30/2014,Upper Southern,15,2874,0.52,18
2013-2014,201436,09/06/2014,Bay Area,234,7137,3.28,12
2013-2014,201436,09/06/2014,California,337,20628,1.63,62
2013-2014,201436,09/06/2014,Central,26,867,3.00,6
2013-2014,201436,09/06/2014,Lower Southern,46,5286,0.87,17
2013-2014,201436,09/06/2014,Northern,18,4867,0.37,9
2013-2014,201436,09/06/2014,Upper Southern,13,2471,0.53,18
2013-2014,201437,09/13/2014,Bay Area,329,8174,4.02,10
2013-2014,201437,09/13/2014,California,465,23667,1.96,57
2013-2014,201437,09/13/2014,Central,30,1201,2.50,7
2013-2014,201437,09/13/2014,Lower Southern,62,5900,1.05,15
2013-2014,201437,09/13/2014,Northern,32,5194,0.62,8
2013-2014,201437,09/13/2014,Upper Southern,12,3198,0.38,17
2013-2014,201438,09/20/2014,Bay Area,127,2815,4.51,13
2013-2014,201438,09/20/2014,California,235,17925,1.31,57
2013-2014,201438,09/20/2014,Central,31,737,4.21,6
2013-2014,201438,09/20/2014,Lower Southern,54,6087,0.89,15
2013-2014,201438,09/20/2014,Northern,11,5167,0.21,6
2013-2014,201438,09/20/2014,Upper Southern,12,3119,0.38,17
2013-2014,201439,09/27/2014,Bay Area,144,3295,4.37,12
2013-2014,201439,09/27/2014,California,211,13612,1.55,49
2013-2014,201439,09/27/2014,Central,19,580,3.28,5
2013-2014,201439,09/27/2014,Lower Southern,7,1922,0.36,10
2013-2014,201439,09/27/2014,Northern,24,5085,0.47,7
2013-2014,201439,09/27/2014,Upper Southern,17,2730,0.62,15
2014-2015,201440,10/04/2014,Bay Area,393,11187,3.51,24
2014-2015,201440,10/04/2014,California,833,43535,1.91,130
2014-2015,201440,10/04/2014,Central,185,8828,2.10,25
2014-2015,201440,10/04/2014,Lower Southern,165,10854,1.52,30
2014-2015,201440,10/04/2014,Northern,43,8585,0.50,20
2014-2015,201440,10/04/2014,Upper Southern,47,4081,1.15,31
2014-2015,201441,10/11/2014,Bay Area,370,10325,3.58,20
2014-2015,201441,10/11/2014,California,936,46366,2.02,136
2014-2015,201441,10/11/2014,Central,224,8650,2.59,25
2014-2015,201441,10/11/2014,Lower Southern,233,13529,1.72,41
2014-2015,201441,10/11/2014,Northern,38,8469,0.45,19
2014-2015,201441,10/11/2014,Upper Southern,71,5393,1.32,31
2014-2015,201442,10/18/2014,Bay Area,340,10379,3.28,20
2014-2015,201442,10/18/2014,California,886,47088,1.88,139
2014-2015,201442,10/18/2014,Central,228,8714,2.62,25
2014-2015,201442,10/18/2014,Lower Southern,196,13564,1.45,42
2014-2015,201442,10/18/2014,Northern,60,8641,0.69,20
2014-2015,201442,10/18/2014,Upper Southern,62,5790,1.07,32
2014-2015,201443,10/25/2014,Bay Area,326,10584,3.08,22
2014-2015,201443,10/25/2014,California,873,47395,1.84,147
2014-2015,201443,10/25/2014,Central,228,9161,2.49,29
2014-2015,201443,10/25/2014,Lower Southern,209,12667,1.65,41
2014-2015,201443,10/25/2014,Northern,53,9153,0.58,22
2014-2015,201443,10/25/2014,Upper Southern,57,5830,0.98,33
2014-2015,201444,11/01/2014,Bay Area,335,10517,3.19,22
2014-2015,201444,11/01/2014,California,844,44750,1.89,154
2014-2015,201444,11/01/2014,Central,256,9143,2.80,29
2014-2015,201444,11/01/2014,Lower Southern,156,12139,1.29,52
2014-2015,201444,11/01/2014,Northern,47,8775,0.54,21
2014-2015,201444,11/01/2014,Upper Southern,50,4176,1.20,30
2014-2015,201445,11/08/2014,Bay Area,393,10894,3.61,22
2014-2015,201445,11/08/2014,California,1048,47003,2.23,157
2014-2015,201445,11/08/2014,Central,254,8975,2.83,28
2014-2015,201445,11/08/2014,Lower Southern,243,14146,1.72,55
2014-2015,201445,11/08/2014,Northern,57,8558,0.67,21
2014-2015,201445,11/08/2014,Upper Southern,101,4430,2.28,31
2014-2015,201446,11/15/2014,Bay Area,421,10411,4.04,22
2014-2015,201446,11/15/2014,California,858,40675,2.11,141
2014-2015,201446,11/15/2014,Central,211,6786,3.11,28
2014-2015,201446,11/15/2014,Lower Southern,127,8695,1.46,39
2014-2015,201446,11/15/2014,Northern,28,8745,0.32,21
2014-2015,201446,11/15/2014,Upper Southern,71,6038,1.18,31
2014-2015,201447,11/22/2014,Bay Area,578,11903,4.86,26
2014-2015,201447,11/22/2014,California,1176,47232,2.49,160
2014-2015,201447,11/22/2014,Central,276,8891,3.10,27
2014-2015,201447,11/22/2014,Lower Southern,197,12348,1.60,54
2014-2015,201447,11/22/2014,Northern,53,9488,0.56,21
2014-2015,201447,11/22/2014,Upper Southern,72,4602,1.56,32
2014-2015,201448,11/29/2014,Bay Area,341,7408,4.60,24
2014-2015,201448,11/29/2014,California,841,30802,2.73,160
2014-2015,201448,11/29/2014,Central,208,6764,3.08,28
2014-2015,201448,11/29/2014,Lower Southern,178,7520,2.37,52
2014-2015,201448,11/29/2014,Northern,51,5755,0.89,22
2014-2015,201448,11/29/2014,Upper Southern,63,3355,1.88,34
2014-2015,201449,12/06/2014,Bay Area,493,11512,4.28,26
2014-2015,201449,12/06/2014,California,1129,46859,2.41,165
2014-2015,201449,12/06/2014,Central,283,9285,3.05,29
2014-2015,201449,12/06/2014,Lower Southern,233,12525,1.86,56
2014-2015,201449,12/06/2014,Northern,48,8500,0.56,21
2014-2015,201449,12/06/2014,Upper Southern,72,5037,1.43,33
2014-2015,201450,12/13/2014,Bay Area,479,10862,4.41,25
2014-2015,201450,12/13/2014,California,1151,44658,2.58,159
2014-2015,201450,12/13/2014,Central,245,8740,2.80,28
2014-2015,201450,12/13/2014,Lower Southern,279,11873,2.35,55
2014-2015,201450,12/13/2014,Northern,68,8356,0.81,20
2014-2015,201450,12/13/2014,Upper Southern,80,4827,1.66,31
2014-2015,201451,12/20/2014,Bay Area,457,9524,4.80,24
2014-2015,201451,12/20/2014,California,1171,40328,2.90,152
2014-2015,201451,12/20/2014,Central,281,8939,3.14,30
2014-2015,201451,12/20/2014,Lower Southern,274,10622,2.58,51
2014-2015,201451,12/20/2014,Northern,90,7585,1.19,18
2014-2015,201451,12/20/2014,Upper Southern,69,3658,1.89,29
2014-2015,201452,12/27/2014,Bay Area,323,5327,6.06,23
2014-2015,201452,12/27/2014,California,1048,23407,4.48,151
2014-2015,201452,12/27/2014,Central,214,5827,3.67,28
2014-2015,201452,12/27/2014,Lower Southern,347,6254,5.55,52
2014-2015,201452,12/27/2014,Northern,100,4070,2.46,19
2014-2015,201452,12/27/2014,Upper Southern,64,1929,3.32,29
2014-2015,201453,01/03/2015,Bay Area,493,6267,7.87,24
2014-2015,201453,01/03/2015,California,1284,26911,4.77,152
2014-2015,201453,01/03/2015,Central,274,6654,4.12,28
2014-2015,201453,01/03/2015,Lower Southern,341,6832,4.99,50
2014-2015,201453,01/03/2015,Northern,122,5190,2.35,20
2014-2015,201453,01/03/2015,Upper Southern,54,1968,2.74,30
2014-2015,201501,01/10/2015,Bay Area,665,11103,5.99,23
2014-2015,201501,01/10/2015,California,1865,46662,4.00,157
2014-2015,201501,01/10/2015,Central,366,9486,3.86,29
2014-2015,201501,01/10/2015,Lower Southern,568,13517,4.20,55
2014-2015,201501,01/10/2015,Northern,169,8432,2.00,20
2014-2015,201501,01/10/2015,Upper Southern,97,4124,2.35,30
2014-2015,201502,01/17/2015,Bay Area,807,11415,7.07,23
2014-2015,201502,01/17/2015,California,2065,47675,4.33,152
2014-2015,201502,01/17/2015,Central,407,9989,4.07,29
2014-2015,201502,01/17/2015,Lower Southern,566,13170,4.30,50
2014-2015,201502,01/17/2015,Northern,157,8521,1.84,19
2014-2015,201502,01/17/2015,Upper Southern,128,4580,2.79,31
2014-2015,201503,01/24/2015,Bay Area,885,11494,7.70,23
2014-2015,201503,01/24/2015,California,2140,43852,4.88,152
2014-2015,201503,01/24/2015,Central,385,8282,4.65,28
2014-2015,201503,01/24/2015,Lower Southern,641,12858,4.99,54
2014-2015,201503,01/24/2015,Northern,95,6600,1.44,17
2014-2015,201503,01/24/2015,Upper Southern,134,4618,2.90,30
2014-2015,201504,01/31/2015,Bay Area,975,12279,7.94,25
2014-2015,201504,01/31/2015,California,2452,48936,5.01,155
2014-2015,201504,01/31/2015,Central,475,9546,4.98,27
2014-2015,201504,01/31/2015,Lower Southern,705,14883,4.74,55
2014-2015,201504,01/31/2015,Northern,105,7312,1.44,18
2014-2015,201504,01/31/2015,Upper Southern,192,4916,3.91,30
2014-2015,201505,02/07/2015,Bay Area,918,12218,7.51,26
2014-2015,201505,02/07/2015,California,2195,48660,4.51,145
2014-2015,201505,02/07/2015,Central,509,9718,5.24,28
2014-2015,201505,02/07/2015,Lower Southern,528,14316,3.69,45
2014-2015,201505,02/07/2015,Northern,93,7034,1.32,16
2014-2015,201505,02/07/2015,Upper Southern,147,5374,2.74,30
2014-2015,201506,02/14/2015,Bay Area,727,10850,6.70,20
2014-2015,201506,02/14/2015,California,1776,44248,4.01,142
2014-2015,201506,02/14/2015,Central,408,9429,4.33,28
2014-2015,201506,02/14/2015,Lower Southern,482,13129,3.67,50
2014-2015,201506,02/14/2015,Northern,61,6467,0.94,16
2014-2015,201506,02/14/2015,Upper Southern,98,4373,2.24,28
2014-2015,201507,02/21/2015,Bay Area,600,10109,5.94,22
2014-2015,201507,02/21/2015,California,1396,40507,3.45,147
2014-2015,201507,02/21/2015,Central,328,8231,3.98,27
2014-2015,201507,02/21/2015,Lower Southern,354,12050,2.94,52
2014-2015,201507,02/21/2015,Northern,53,5948,0.89,16
2014-2015,201507,02/21/2015,Upper Southern,61,4169,1.46,30
2014-2015,201508,02/28/2015,Bay Area,717,11493,6.24,20
2014-2015,201508,02/28/2015,California,1488,46894,3.17,149
2014-2015,201508,02/28/2015,Central,287,9559,3.00,28
2014-2015,201508,02/28/2015,Lower Southern,363,13384,2.71,53
2014-2015,201508,02/28/2015,Northern,51,7413,0.69,17
2014-2015,201508,02/28/2015,Upper Southern,70,5045,1.39,31
2014-2015,201509,03/07/2015,Bay Area,702,11479,6.12,23
2014-2015,201509,03/07/2015,California,1369,44549,3.07,148
2014-2015,201509,03/07/2015,Central,312,8884,3.51,27
2014-2015,201509,03/07/2015,Lower Southern,259,13221,1.96,55
2014-2015,201509,03/07/2015,Northern,57,7103,0.80,16
2014-2015,201509,03/07/2015,Upper Southern,39,3862,1.01,27
2014-2015,201510,03/14/2015,Bay Area,777,12310,6.31,24
2014-2015,201510,03/14/2015,California,1472,46341,3.18,142
2014-2015,201510,03/14/2015,Central,279,9421,2.96,26
2014-2015,201510,03/14/2015,Lower Southern,335,13051,2.57,49
2014-2015,201510,03/14/2015,Northern,44,6750,0.65,15
2014-2015,201510,03/14/2015,Upper Southern,37,4809,0.77,28
2014-2015,201511,03/21/2015,Bay Area,638,11307,5.64,21
2014-2015,201511,03/21/2015,California,1278,43281,2.95,138
2014-2015,201511,03/21/2015,Central,289,8830,3.27,27
2014-2015,201511,03/21/2015,Lower Southern,276,12260,2.25,45
2014-2015,201511,03/21/2015,Northern,35,5835,0.60,15
2014-2015,201511,03/21/2015,Upper Southern,40,5049,0.79,30
2014-2015,201512,03/28/2015,Bay Area,583,10241,5.69,22
2014-2015,201512,03/28/2015,California,1097,41299,2.66,137
2014-2015,201512,03/28/2015,Central,264,8739,3.02,26
2014-2015,201512,03/28/2015,Lower Southern,188,11883,1.58,47
2014-2015,201512,03/28/2015,Northern,27,5960,0.45,15
2014-2015,201512,03/28/2015,Upper Southern,35,4476,0.78,27
2014-2015,201513,04/04/2015,Bay Area,513,10375,4.94,21
2014-2015,201513,04/04/2015,California,1050,39548,2.66,138
2014-2015,201513,04/04/2015,Central,237,7860,3.02,26
2014-2015,201513,04/04/2015,Lower Southern,242,10506,2.30,45
2014-2015,201513,04/04/2015,Northern,36,6776,0.53,15
2014-2015,201513,04/04/2015,Upper Southern,22,4031,0.55,31
2014-2015,201514,04/11/2015,Bay Area,498,10182,4.89,22
2014-2015,201514,04/11/2015,California,950,39608,2.40,139
2014-2015,201514,04/11/2015,Central,175,8019,2.18,26
2014-2015,201514,04/11/2015,Lower Southern,203,11826,1.72,50
2014-2015,201514,04/11/2015,Northern,34,5544,0.61,15
2014-2015,201514,04/11/2015,Upper Southern,40,4037,0.99,26
2014-2015,201515,04/18/2015,Bay Area,492,11423,4.31,21
2014-2015,201515,04/18/2015,California,906,42776,2.12,139
2014-2015,201515,04/18/2015,Central,194,7913,2.45,24
2014-2015,201515,04/18/2015,Lower Southern,171,12860,1.33,51
2014-2015,201515,04/18/2015,Northern,30,6492,0.46,14
2014-2015,201515,04/18/2015,Upper Southern,19,4088,0.46,29
2014-2015,201516,04/25/2015,Bay Area,445,10539,4.22,17
2014-2015,201516,04/25/2015,California,858,40182,2.14,125
2014-2015,201516,04/25/2015,Central,169,8034,2.10,23
2014-2015,201516,04/25/2015,Lower Southern,194,11653,1.66,46
2014-2015,201516,04/25/2015,Northern,23,6137,0.37,13
2014-2015,201516,04/25/2015,Upper Southern,27,3819,0.71,26
2014-2015,201517,05/02/2015,Bay Area,495,10923,4.53,19
2014-2015,201517,05/02/2015,California,912,42455,2.15,129
2014-2015,201517,05/02/2015,Central,178,8242,2.16,22
2014-2015,201517,05/02/2015,Lower Southern,191,12461,1.53,48
2014-2015,201517,05/02/2015,Northern,27,6338,0.43,13
2014-2015,201517,05/02/2015,Upper Southern,21,4491,0.47,27
2014-2015,201518,05/09/2015,Bay Area,489,10453,4.68,17
2014-2015,201518,05/09/2015,California,910,40833,2.23,125
2014-2015,201518,05/09/2015,Central,163,7907,2.06,22
2014-2015,201518,05/09/2015,Lower Southern,194,11681,1.66,46
2014-2015,201518,05/09/2015,Northern,29,6471,0.45,13
2014-2015,201518,05/09/2015,Upper Southern,35,4321,0.81,27
2014-2015,201519,05/16/2015,Bay Area,537,10384,5.17,15
2014-2015,201519,05/16/2015,California,905,39955,2.27,125
2014-2015,201519,05/16/2015,Central,129,7740,1.67,21
2014-2015,201519,05/16/2015,Lower Southern,163,10974,1.49,46
2014-2015,201519,05/16/2015,Northern,38,6549,0.58,13
2014-2015,201519,05/16/2015,Upper Southern,38,4308,0.88,30
2014-2015,201520,05/23/2015,Bay Area,407,9782,4.16,16
2014-2015,201520,05/23/2015,California,768,36408,2.11,123
2014-2015,201520,05/23/2015,Central,151,7672,1.97,22
2014-2015,201520,05/23/2015,Lower Southern,152,9336,1.63,44
2014-2015,201520,05/23/2015,Northern,21,5679,0.37,12
2014-2015,201520,05/23/2015,Upper Southern,37,3939,0.94,29
2014-2015,201521,05/30/2015,Bay Area,373,8381,4.45,16
2014-2015,201521,05/30/2015,California,643,30965,2.08,120
2014-2015,201521,05/30/2015,Central,150,7114,2.11,21
2014-2015,201521,05/30/2015,Lower Southern,91,8433,1.08,49
2014-2015,201521,05/30/2015,Northern,22,4577,0.48,13
2014-2015,201521,05/30/2015,Upper Southern,7,2460,0.28,21
2014-2015,201522,06/06/2015,Bay Area,367,9240,3.97,14
2014-2015,201522,06/06/2015,California,680,31230,2.18,98
2014-2015,201522,06/06/2015,Central,119,4635,2.57,14
2014-2015,201522,06/06/2015,Lower Southern,170,9924,1.71,38
2014-2015,201522,06/06/2015,Northern,14,5196,0.27,12
2014-2015,201522,06/06/2015,Upper Southern,10,2235,0.45,20
2014-2015,201523,06/13/2015,Bay Area,334,8751,3.82,12
2014-2015,201523,06/13/2015,California,576,29378,1.96,100
2014-2015,201523,06/13/2015,Central,98,4024,2.44,13
2014-2015,201523,06/13/2015,Lower Southern,123,9421,1.31,47
2014-2015,201523,06/13/2015,Northern,17,5302,0.32,12
2014-2015,201523,06/13/2015,Upper Southern,4,1880,0.21,16
2014-2015,201524,06/20/2015,Bay Area,284,8020,3.54,11
2014-2015,201524,06/20/2015,California,507,27130,1.87,99
2014-2015,201524,06/20/2015,Central,66,3746,1.76,12
2014-2015,201524,06/20/2015,Lower Southern,134,8397,1.60,46
2014-2015,201524,06/20/2015,Northern,19,4828,0.39,11
2014-2015,201524,06/20/2015,Upper Southern,4,2139,0.19,19
2014-2015,201525,06/27/2015,Bay Area,273,8258,3.31,12
2014-2015,201525,06/27/2015,California,459,27667,1.66,97
2014-2015,201525,06/27/2015,Central,67,3777,1.77,12
2014-2015,201525,06/27/2015,Lower Southern,94,9295,1.01,45
2014-2015,201525,06/27/2015,Northern,17,4567,0.37,10
2014-2015,201525,06/27/2015,Upper Southern,8,1770,0.45,18
2014-2015,201526,07/04/2015,Bay Area,242,7707,3.14,13
2014-2015,201526,07/04/2015,California,393,23952,1.64,97
2014-2015,201526,07/04/2015,Central,52,3784,1.37,12
2014-2015,201526,07/04/2015,Lower Southern,83,7505,1.11,44
2014-2015,201526,07/04/2015,Northern,10,3718,0.27,11
2014-2015,201526,07/04/2015,Upper Southern,6,1238,0.48,17
2014-2015,201527,07/11/2015,Bay Area,251,8249,3.04,11
2014-2015,201527,07/11/2015,California,438,35784,1.22,103
2014-2015,201527,07/11/2015,Central,58,4306,1.35,12
2014-2015,201527,07/11/2015,Lower Southern,98,16767,0.58,51
2014-2015,201527,07/11/2015,Northern,19,4549,0.42,11
2014-2015,201527,07/11/2015,Upper Southern,12,1913,0.63,18
2014-2015,201528,07/18/2015,Bay Area,190,8080,2.35,13
2014-2015,201528,07/18/2015,California,369,34545,1.07,102
2014-2015,201528,07/18/2015,Central,44,4342,1.01,11
2014-2015,201528,07/18/2015,Lower Southern,118,15675,0.75,51
2014-2015,201528,07/18/2015,Northern,14,4686,0.30,11
2014-2015,201528,07/18/2015,Upper Southern,3,1762,0.17,16
2014-2015,201529,07/25/2015,Bay Area,145,8054,1.80,11
2014-2015,201529,07/25/2015,California,320,35910,0.89,102
2014-2015,201529,07/25/2015,Central,38,4418,0.86,13
2014-2015,201529,07/25/2015,Lower Southern,122,17725,0.69,51
2014-2015,201529,07/25/2015,Northern,8,4007,0.20,9
2014-2015,201529,07/25/2015,Upper Southern,7,1706,0.41,18
2014-2015,201530,08/01/2015,Bay Area,146,7902,1.85,9
2014-2015,201530,08/01/2015,California,299,33136,0.90,95
2014-2015,201530,08/01/2015,Central,35,4252,0.82,12
2014-2015,201530,08/01/2015,Lower Southern,104,15488,0.67,48
2014-2015,201530,08/01/2015,Northern,11,4211,0.26,10
2014-2015,201530,08/01/2015,Upper Southern,3,1283,0.23,16
2014-2015,201531,08/08/2015,Bay Area,164,7840,2.09,10
2014-2015,201531,08/08/2015,California,303,34715,0.87,99
2014-2015,201531,08/08/2015,Central,45,4166,1.08,13
2014-2015,201531,08/08/2015,Lower Southern,77,16515,0.47,49
2014-2015,201531,08/08/2015,Northern,13,4646,0.28,11
2014-2015,201531,08/08/2015,Upper Southern,4,1548,0.26,16
2014-2015,201532,08/15/2015,Bay Area,173,7848,2.20,12
2014-2015,201532,08/15/2015,California,374,37401,1.00,109
2014-2015,201532,08/15/2015,Central,44,5584,0.79,21
2014-2015,201532,08/15/2015,Lower Southern,136,17447,0.78,49
2014-2015,201532,08/15/2015,Northern,11,4925,0.22,11
2014-2015,201532,08/15/2015,Upper Southern,10,1597,0.63,16
2014-2015,201533,08/22/2015,Bay Area,186,8406,2.21,12
2014-2015,201533,08/22/2015,California,368,38405,0.96,104
2014-2015,201533,08/22/2015,Central,53,4987,1.06,14
2014-2015,201533,08/22/2015,Lower Southern,102,18114,0.56,52
2014-2015,201533,08/22/2015,Northern,17,5052,0.34,10
2014-2015,201533,08/22/2015,Upper Southern,10,1846,0.54,16
2014-2015,201534,08/29/2015,Bay Area,239,9062,2.64,13
2014-2015,201534,08/29/2015,California,450,40964,1.10,105
2014-2015,201534,08/29/2015,Central,53,5527,0.96,14
2014-2015,201534,08/29/2015,Lower Southern,135,18226,0.74,49
2014-2015,201534,08/29/2015,Northern,13,5561,0.23,11
2014-2015,201534,08/29/2015,Upper Southern,10,2588,0.39,18
2014-2015,201535,09/05/2015,Bay Area,203,8478,2.39,9
2014-2015,201535,09/05/2015,California,444,41166,1.08,103
2014-2015,201535,09/05/2015,Central,73,5287,1.38,13
2014-2015,201535,09/05/2015,Lower Southern,151,18739,0.81,51
2014-2015,201535,09/05/2015,Northern,10,5833,0.17,11
2014-2015,201535,09/05/2015,Upper Southern,7,2829,0.25,19
2014-2015,201536,09/12/2015,Bay Area,36,2023,1.78,8
2014-2015,201536,09/12/2015,California,237,32604,0.73,101
2014-2015,201536,09/12/2015,Central,69,4958,1.39,12
2014-2015,201536,09/12/2015,Lower Southern,108,18288,0.59,52
2014-2015,201536,09/12/2015,Northern,15,4815,0.31,11
2014-2015,201536,09/12/2015,Upper Southern,9,2520,0.36,18
2014-2015,201537,09/19/2015,Bay Area,274,16962,1.62,16
2014-2015,201537,09/19/2015,California,535,49607,1.08,112
2014-2015,201537,09/19/2015,Central,62,4575,1.36,13
2014-2015,201537,09/19/2015,Lower Southern,171,19271,0.89,52
2014-2015,201537,09/19/2015,Northern,12,5766,0.21,11
2014-2015,201537,09/19/2015,Upper Southern,16,3033,0.53,20
2014-2015,201538,09/26/2015,Bay Area,260,17274,1.51,17
2014-2015,201538,09/26/2015,California,525,50454,1.04,110
2014-2015,201538,09/26/2015,Central,78,4346,1.79,12
2014-2015,201538,09/26/2015,Lower Southern,149,19635,0.76,50
2014-2015,201538,09/26/2015,Northern,16,6003,0.27,11
2014-2015,201538,09/26/2015,Upper Southern,22,3196,0.69,20
2014-2015,201539,10/03/2015,Bay Area,267,17271,1.55,19
2014-2015,201539,10/03/2015,California,393,44128,0.89,98
2014-2015,201539,10/03/2015,Central,11,970,1.13,7
2014-2015,201539,10/03/2015,Lower Southern,81,16375,0.49,41
2014-2015,201539,10/03/2015,Northern,18,6504,0.28,12
2014-2015,201539,10/03/2015,Upper Southern,16,3008,0.53,19
2015-2016,201540,10/10/2015,Bay Area,304,17190,1.77,26
2015-2016,201540,10/10/2015,California,613,55776,1.10,137
2015-2016,201540,10/10/2015,Central,138,7563,1.82,21
2015-2016,201540,10/10/2015,Lower Southern,113,19456,0.58,47
2015-2016,201540,10/10/2015,Northern,24,7108,0.34,17
2015-2016,201540,10/10/2015,Upper Southern,34,4459,0.76,26
2015-2016,201541,10/17/2015,Bay Area,390,19227,2.03,31
2015-2016,201541,10/17/2015,California,745,58054,1.28,152
2015-2016,201541,10/17/2015,Central,159,8137,1.95,22
2015-2016,201541,10/17/2015,Lower Southern,160,19412,0.82,48
2015-2016,201541,10/17/2015,Northern,11,6610,0.17,16
2015-2016,201541,10/17/2015,Upper Southern,25,4668,0.54,35
2015-2016,201542,10/24/2015,Bay Area,376,19247,1.95,29
